AR,BG,CH,CR,CZ,FR,GE,JA,KO,PL,PO,RU,SP,SW,TA,TH,TU,WU,VN
726,0,2,2,7,0,1,1,1,7,8,48,7,11,3,0,0,0,0   
0,1178,1,4,1,0,0,0,0,17,18,11,1,0,0,0,1,0,0   
1,0,1028,0,0,0,0,1,20,0,3,5,1,1,0,1,0,1,0   
1,0,0,923,6,1,0,0,2,20,1,33,19,7,0,0,15,0,0   
0,21,1,3,1232,1,1,2,0,30,34,15,3,1,1,0,1,0,1   
0,1,0,0,0,1077,0,0,0,1,4,1,0,2,0,0,1,0,0   
5,0,3,1,2,0,1146,0,0,1,2,1,0,5,0,0,6,0,0   
0,0,3,0,16,0,4,434,20,0,3,3,4,0,0,0,3,0,0   
0,0,2,0,2,0,0,6,1148,0,0,0,2,3,0,2,1,3,2   
0,9,0,1,2,0,1,0,0,1459,4,28,5,1,2,0,0,0,1   
2,0,0,2,4,0,3,0,0,4,845,15,17,25,0,1,3,0,3   
2,2,1,55,21,6,0,5,1,7,10,1570,7,5,0,0,3,5,0   
10,1,0,5,5,1,2,0,6,5,32,16,997,34,1,1,0,1,1   
0,0,1,36,7,0,2,0,0,4,7,27,16,1244,0,0,3,0,0   
3,0,0,0,0,0,0,0,0,1,1,0,0,0,409,0,0,0,0   
3,0,1,0,0,0,0,0,3,0,1,0,4,0,1,1309,0,0,0   
0,4,0,28,1,1,0,0,1,17,15,4,4,2,0,0,1012,0,1   
1,0,2,0,1,0,0,1,1,0,2,2,0,3,0,0,1,333,0   
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1158
