acoustic,prosodic,acc_eval,c_prim_eval,acc_test,c_prim_test,acc_test_3s,c_prim_test_3s
none,pitch,0.6998,0.3781,0.7324,0.3269,0.5752,0.5260
none,energy,0.7214,0.3551,0.7484,0.3067,0.5776,0.5196
none,pitch_energy,0.8612,0.1741,0.8717,0.1535,0.7427,0.3142
mfcc,none,0.9413,0.0773,0.9426,0.0660,0.8746,0.1477
mfcc,pitch,0.9350,0.0867,0.9413,0.0693,0.8714,0.1531
mfcc,energy,0.9418,0.0763,0.9522,0.0581,0.8884,0.1369
mfcc,pitch_energy,0.9403,0.0791,0.9543,0.0562,0.8887,0.1361
mfcc_deltas,none,0.9442,0.0736,0.9522,0.0567,0.8855,0.1380
mfcc_deltas,pitch,0.9428,0.0764,0.9502,0.0577,0.8862,0.1344
mfcc_deltas,energy,0.9475,0.0677,0.9571,0.0523,0.8953,0.1285
mfcc_deltas,pitch_energy,0.9457,0.0719,0.9560,0.0544,0.8876,0.1386
sdc,none,0.9481,0.0670,0.9526,0.0543,0.8677,0.1575
sdc,pitch,0.9464,0.0700,0.9517,0.0559,0.8672,0.1586
sdc,energy,0.9475,0.0666,0.9668,0.0401,0.8961,0.1278
sdc,pitch_energy,0.9439,0.0697,0.9603,0.0484,0.8884,0.1370
