max-steps,normaliser,mix-up,acc,c_prim
20,0,19,0.838,0.229
20,0,50,0.863,0.174
20,0,100,0.863,0.175
20,0,150,0.867,0.168
20,0,200,0.866,0.172
20,0,250,0.864,0.173
20,0,300,0.866,0.170
20,0.00001,19,0.838,0.229
20,0.00001,50,0.864,0.173
20,0.00001,100,0.861,0.176
20,0.00001,150,0.864,0.172
20,0.00001,200,0.866,0.171
20,0.00001,250,0.864,0.173
20,0.00001,300,0.866,0.170
20,0.0001,19,0.838,0.230
20,0.0001,50,0.865,0.172
20,0.0001,100,0.865,0.171
20,0.0001,150,0.870,0.166
20,0.0001,200,0.862,0.175
20,0.0001,250,0.872,0.163
20,0.0001,300,0.867,0.170
20,0.001,19,0.836,0.237
20,0.001,50,0.869,0.167
20,0.001,100,0.866,0.170
20,0.001,150,0.869,0.171
20,0.001,200,0.863,0.175
20,0.001,250,0.858,0.182
20,0.001,300,0.850,0.195
20,0.01,19,0.841,0.229
20,0.01,50,0.879,0.163
20,0.01,100,0.880,0.163
20,0.01,150,0.872,0.183
20,0.01,200,0.862,0.202
20,0.01,250,0.852,0.217
20,0.01,300,0.837,0.238
40,0,19,0.863,0.175
40,0,50,0.872,0.164
40,0,100,0.878,0.157
40,0,150,0.875,0.161
40,0,200,0.875,0.162
40,0,250,0.878,0.158
40,0,300,0.880,0.155
40,0.00001,19,0.864,0.174
40,0.00001,50,0.879,0.156
40,0.00001,100,0.878,0.159
40,0.00001,150,0.875,0.161
40,0.00001,200,0.878,0.157
40,0.00001,250,0.877,0.159
40,0.00001,300,0.880,0.155
40,0.0001,19,0.865,0.173
40,0.0001,50,0.881,0.154
40,0.0001,100,0.886,0.150
40,0.0001,150,0.890,0.145
40,0.0001,200,0.885,0.150
40,0.0001,250,0.888,0.146
40,0.0001,300,0.889,0.147
40,0.001,19,0.876,0.161
40,0.001,50,0.891,0.143
40,0.001,100,0.889,0.148
40,0.001,150,0.886,0.153
40,0.001,200,0.886,0.158
40,0.001,250,0.887,0.153
40,0.001,300,0.888,0.153
40,0.01,19,0.881,0.157
40,0.01,50,0.879,0.163
40,0.01,100,0.861,0.192
40,0.01,150,0.872,0.168
40,0.01,200,0.870,0.186
40,0.01,250,0.837,0.231
40,0.01,300,0.852,0.207
60,0,19,0.877,0.158
60,0,50,0.874,0.162
60,0,100,0.870,0.168
60,0,150,0.875,0.162
60,0,200,0.870,0.167
60,0,250,0.873,0.165
60,0,300,0.876,0.160
60,0.00001,19,0.880,0.155
60,0.00001,50,0.877,0.159
60,0.00001,100,0.881,0.154
60,0.00001,150,0.887,0.149
60,0.00001,200,0.883,0.153
60,0.00001,250,0.881,0.156
60,0.00001,300,0.880,0.156
60,0.0001,19,0.885,0.149
60,0.0001,50,0.892,0.142
60,0.0001,100,0.892,0.143
60,0.0001,150,0.891,0.143
60,0.0001,200,0.886,0.153
60,0.0001,250,0.890,0.147
60,0.0001,300,0.883,0.154
60,0.001,19,0.893,0.143
60,0.001,50,0.885,0.150
60,0.001,100,0.889,0.146
60,0.001,150,0.884,0.152
60,0.001,200,0.892,0.145
60,0.001,250,0.880,0.159
60,0.001,300,0.879,0.158
60,0.01,19,0.890,0.148
60,0.01,50,0.894,0.141
60,0.01,100,0.889,0.147
60,0.01,150,0.891,0.146
60,0.01,200,0.883,0.156
60,0.01,250,0.882,0.176
60,0.01,300,0.877,0.165
80,0,19,0.869,0.168
80,0,50,0.874,0.165
80,0,100,0.870,0.166
80,0,150,0.869,0.168
80,0,200,0.869,0.167
80,0,250,0.878,0.157
80,0,300,0.870,0.167
80,0.00001,19,0.874,0.163
80,0.00001,50,0.877,0.161
80,0.00001,100,0.878,0.159
80,0.00001,150,0.883,0.152
80,0.00001,200,0.878,0.157
80,0.00001,250,0.879,0.157
80,0.00001,300,0.879,0.156
80,0.0001,19,0.882,0.156
80,0.0001,50,0.890,0.146
80,0.0001,100,0.892,0.143
80,0.0001,150,0.890,0.143
80,0.0001,200,0.887,0.144
80,0.0001,250,0.881,0.155
80,0.0001,300,0.881,0.154
80,0.001,19,0.891,0.144
80,0.001,50,0.891,0.144
80,0.001,100,0.885,0.154
80,0.001,150,0.891,0.144
80,0.001,200,0.894,0.140
80,0.001,250,0.880,0.154
80,0.001,300,0.880,0.157
80,0.01,19,0.891,0.147
80,0.01,50,0.890,0.147
80,0.01,100,0.890,0.147
80,0.01,150,0.891,0.147
80,0.01,200,0.890,0.148
80,0.01,250,0.885,0.153
80,0.01,300,0.887,0.152
100,0,19,0.869,0.169
100,0,50,0.878,0.160
100,0,100,0.880,0.157
100,0,150,0.872,0.166
100,0,200,0.873,0.163
100,0,250,0.875,0.162
100,0,300,0.873,0.163
100,0.00001,19,0.872,0.166
100,0.00001,50,0.878,0.159
100,0.00001,100,0.884,0.153
100,0.00001,150,0.884,0.153
100,0.00001,200,0.880,0.158
100,0.00001,250,0.881,0.155
100,0.00001,300,0.881,0.158
100,0.0001,19,0.878,0.158
100,0.0001,50,0.888,0.146
100,0.0001,100,0.888,0.145
100,0.0001,150,0.880,0.154
