Accuracy: 0.708 (14407/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  438  0    3    46   14   25   34   4    6    8    36   118  34   18   1    2    36   0    1   
BG  0    853  0    0    1    0    0    0    0    375  0    0    0    0    0    3    0    0    0   
CH  2    0    955  5    1    1    14   10   26   4    0    8    7    10   0    0    8    10   1   
CR  9    0    1    462  11   22   10   1    2    0    37   167  63   39   0    0    202  0    2   
CZ  13   8    6    9    1097 18   7    3    9    48   16   35   2    9    5    32   7    3    20  
FR  1    0    2    3    5    770  56   14   15   0    53   72   16   31   0    0    41   3    5   
GE  11   0    13   3    0    3    1108 2    5    1    7    8    0    1    0    0    10   0    0   
JA  5    0    5    5    14   3    30   296  18   0    22   15   15   27   0    3    24   7    1   
KO  3    0    35   4    9    52   15   19   947  0    7    5    18   7    1    2    42   4    1   
PL  27   129  5    12   20   15   88   0    2    1005 37   112  0    5    0    5    3    0    48  
PO  11   0    15   6    5    29   13   23   21   1    584  63   84   15   0    0    53   0    1   
RU  55   0    5    256  36   34   43   44   11   3    113  842  79   54   2    2    102  8    11  
SP  9    1    8    71   7    63   1    2    11   0    14   67   694  107  1    0    59   2    1   
SW  9    0    38   104  4    82   16   7    43   9    24   62   38   736  0    3    165  2    5   
TA  51   14   0    2    8    0    1    2    1    5    35   16   2    5    248  3    5    0    16  
TH  2    6    1    0    1    0    0    0    1    9    0    1    1    3    0    1296 0    0    1   
TU  11   20   14   23   12   56   1    1    34   7    14   33   13   41   6    0    771  2    31  
WU  0    0    40   1    0    0    0    16   5    0    0    2    1    1    0    0    5    271  5   
VN  10   0    20   0    22   10   0    4    2    4    6    5    3    8    0    1    31   1    1034
C_primary value: 0.373
