Accuracy: 0.931 (18955/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  745  0    1    1    0    0    2    4    0    0    10   27   10   19   1    0    4    0    0   
BG  0    1184 0    1    0    0    0    0    0    33   10   4    0    0    0    0    0    0    0   
CH  0    0    1031 0    0    0    0    5    7    1    8    3    0    0    0    1    0    6    0   
CR  3    0    0    848  9    0    1    0    1    9    10   93   30   5    0    0    19   0    0   
CZ  0    0    0    0    1158 3    0    3    0    141  9    24   3    1    2    3    0    0    0   
FR  0    0    0    0    0    1077 0    1    0    2    3    1    0    2    0    0    1    0    0   
GE  15   0    0    1    2    0    1114 2    0    0    21   6    0    2    0    0    9    0    0   
JA  1    0    9    0    0    0    0    436  24   0    13   1    4    0    0    1    0    1    0   
KO  0    0    1    0    0    0    0    13   1139 0    0    0    7    6    0    2    1    2    0   
PL  0    2    0    0    1    0    10   0    1    1392 8    61   0    0    32   2    0    0    4   
PO  1    0    1    6    1    0    4    0    0    2    811  31   48   12   0    0    7    0    0   
RU  4    0    3    62   1    2    1    1    1    0    17   1576 17   2    0    0    6    7    0   
SP  18   0    0    7    0    0    1    1    7    0    30   15   993  40   2    0    3    1    0   
SW  1    0    0    30   0    0    0    0    1    0    8    17   48   1234 0    0    8    0    0   
TA  0    0    0    0    0    0    0    0    0    0    0    1    0    0    413  0    0    0    0   
TH  1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1321 0    0    0   
TU  0    0    1    27   1    0    1    0    1    0    23   22   4    2    1    0    1007 0    0   
WU  0    0    11   1    0    0    0    1    1    0    3    2    4    4    0    0    1    319  0   
VN  0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    2    0    1157
C_primary value: 0.087
