Accuracy: 0.946 (19245/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  772  0    1    3    1    0    1    1    0    2    5    16   15   3    1    0    3    0    0   
BG  0    1207 0    2    0    0    0    1    0    15   3    4    0    0    0    0    0    0    0   
CH  0    0    1023 0    0    0    0    2    11   1    9    1    2    1    0    1    1    10   0   
CR  2    0    0    939  2    0    0    1    0    20   0    34   14   9    0    0    7    0    0   
CZ  1    7    0    0    1233 0    1    0    0    94   1    1    0    1    1    7    0    0    0   
FR  0    0    0    0    0    1066 0    0    0    12   1    3    1    2    0    0    2    0    0   
GE  21   0    6    0    14   0    1070 1    0    1    4    11   2    2    2    0    38   0    0   
JA  1    0    5    0    1    0    0    441  24   0    7    4    5    0    0    1    1    0    0   
KO  0    0    3    0    1    0    0    13   1114 0    0    0    25   11   1    1    1    1    0   
PL  0    1    0    0    0    0    1    0    0    1493 0    14   0    0    3    1    0    0    0   
PO  2    0    0    5    1    0    4    1    0    1    853  16   21   18   0    0    2    0    0   
RU  3    0    1    74   0    0    1    0    0    12   8    1571 15   6    0    1    5    3    0   
SP  17   0    0    14   1    0    1    0    4    2    15   27   994  37   0    0    3    1    2   
SW  1    0    0    16   0    0    0    0    0    2    6    10   20   1291 0    0    1    0    0   
TA  0    0    0    0    0    0    0    0    0    0    0    1    0    0    413  0    0    0    0   
TH  3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1319 0    0    0   
TU  1    2    0    55   1    0    0    0    1    18   18   9    3    4    0    0    977  0    1   
WU  0    0    17   0    0    0    0    1    2    0    2    1    3    10   0    0    1    310  0   
VN  0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    1159
C_primary value: 0.071
