Accuracy: 0.938 (19088/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  778  0    2    2    3    0    2    1    0    4    5    13   9    4    1    0    0    0    0   
BG  1    1196 0    6    1    0    0    1    0    16   1    10   0    0    0    0    0    0    0   
CH  0    0    1033 0    0    0    0    0    13   2    11   1    1    0    1    0    0    0    0   
CR  0    0    0    893  3    0    0    0    1    37   1    40   30   18   0    0    5    0    0   
CZ  0    4    0    1    1159 0    0    3    0    160  0    9    3    3    2    2    0    0    1   
FR  0    0    0    0    0    1063 0    1    0    9    2    3    0    4    0    0    2    3    0   
GE  6    0    8    3    20   0    1079 0    0    5    3    20   2    3    0    0    23   0    0   
JA  3    0    20   0    2    0    0    420  24   0    5    1    5    1    0    1    8    0    0   
KO  0    0    1    0    0    0    0    11   1133 0    1    1    11   8    0    1    0    4    0   
PL  0    2    0    0    1    0    3    0    0    1477 1    21   0    0    6    0    0    0    2   
PO  0    0    0    3    1    1    4    0    0    1    836  16   25   33   1    0    2    1    0   
RU  3    0    1    60   4    0    0    4    2    8    8    1585 10   2    0    0    3    10   0   
SP  15   0    0    11   0    1    1    1    7    0    24   25   971  58   0    1    2    0    1   
SW  2    0    0    37   1    0    0    0    0    1    5    23   25   1250 0    0    3    0    0   
TA  0    0    0    0    0    0    0    0    0    0    0    0    0    0    414  0    0    0    0   
TH  3    0    0    0    0    0    0    0    1    0    0    0    0    0    0    1318 0    0    0   
TU  0    1    0    46   1    0    0    0    1    6    15   15   4    5    2    0    994  0    0   
WU  0    0    4    0    0    1    0    1    1    0    0    1    6    1    0    0    1    331  0   
VN  0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    1158
C_primary value: 0.078
