Accuracy: 0.850 (17306/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  682  0    0    4    5    4    14   5    1    0    24   26   27   16   1    0    15   0    0   
BG  0    1016 0    2    0    0    0    0    0    211  2    0    0    1    0    0    0    0    0   
CH  0    0    1051 0    0    0    2    0    0    3    1    0    0    0    0    1    0    1    3   
CR  3    0    1    815  11   1    3    2    1    2    35   66   33   41   0    0    12   0    2   
CZ  10   0    0    2    1177 1    6    3    5    64   39   12   7    11   1    5    0    0    4   
FR  0    0    0    0    5    1022 14   2    1    0    7    9    1    13   0    0    10   2    1   
GE  40   0    2    0    3    14   1065 6    0    0    13   10   2    0    0    0    17   0    0   
JA  0    0    11   0    2    0    3    390  9    0    5    6    6    36   0    0    13   9    0   
KO  0    0    1    0    0    1    3    5    1140 0    6    1    3    0    0    2    6    1    2   
PL  30   104  0    19   3    39   28   1    0    1004 51   134  0    10   3    1    12   0    74  
PO  7    0    2    20   2    11   2    1    0    1    748  54   47   6    0    1    22   0    0   
RU  22   0    3    190  15   8    11   8    6    2    114  1219 28   38   0    0    29   2    5   
SP  4    0    0    67   3    27   2    2    8    3    30   8    806  105  1    1    51   0    0   
SW  3    0    6    13   7    8    11   6    21   0    24   75   31   1091 0    0    43   0    8   
TA  22   1    0    0    35   0    0    0    1    6    7    0    6    0    328  0    1    0    7   
TH  0    0    1    0    0    0    0    0    0    1    0    0    1    1    0    1316 0    0    2   
TU  4    2    0    3    7    17   2    0    7    17   12   12   6    10   0    0    984  0    7   
WU  0    0    27   1    0    0    0    1    0    0    1    0    0    0    0    0    1    311  5   
VN  2    0    1    0    3    1    0    0    1    0    0    2    5    1    0    2    2    0    1141
C_primary value: 0.185
