Accuracy: 0.684 (13922/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  414  0    1    39   42   73   9    5    3    3    23   111  31   30   0    0    28   0    12  
BG  0    974  0    0    1    0    0    0    0    253  0    0    0    0    0    4    0    0    0   
CH  0    0    1021 1    0    0    0    2    3    4    0    1    2    1    0    2    0    5    20  
CR  3    0    5    477  13   23   1    11   11   1    122  196  49   93   1    1    18   0    3   
CZ  30   1    1    5    868  42   33   5    20   49   71   36   64   69   1    11   16   0    25  
FR  0    0    0    7    15   800  42   2    3    0    27   58   8    56   1    0    62   0    6   
GE  172  0    1    7    2    22   814  8    18   0    21   26   32   5    2    0    35   2    5   
JA  0    0    19   2    27   1    9    356  8    0    1    11   3    17   1    0    31   1    3   
KO  1    0    1    1    2    1    2    4    1032 0    30   4    51   9    3    0    24   4    2   
PL  22   103  3    34   0    29   57   7    2    754  54   105  3    49   11   23   6    1    250 
PO  8    0    3    46   2    18   31   16   30   2    474  193  21   36   1    0    32   1    10  
RU  56   0    5    201  14   21   16   32   18   5    160  974  40   90   9    1    51   1    6   
SP  18   0    0    69   32   17   36   9    18   3    86   40   649  69   3    1    61   1    6   
SW  40   0    6    39   60   15   6    26   27   2    67   167  69   778  0    1    37   0    7   
TA  40   0    0    13   47   6    24   4    46   0    3    2    27   1    161  0    16   0    24  
TH  0    0    2    0    3    0    0    1    0    7    2    0    4    2    0    1296 0    0    5   
TU  2    0    0    5    43   20   2    1    15   46   11   50   32   22   2    0    831  0    8   
WU  0    0    52   0    0    0    0    0    0    0    0    0    5    1    0    0    0    284  5   
VN  27   0    10   10   12   15   7    2    3    1    4    9    45   11   0    34   3    3    965 
C_primary value: 0.402
