Accuracy: 0.938 (19079/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  765  0    1    2    3    0    2    1    0    4    3    22   6    10   2    0    3    0    0   
BG  1    1157 0    5    9    0    0    0    2    27   18   12   1    0    0    0    0    0    0   
CH  1    0    1020 0    0    1    0    8    27   1    0    1    0    0    0    2    1    0    0   
CR  2    0    0    889  11   2    0    0    0    35   10   39   27   5    0    0    8    0    0   
CZ  3    21   0    5    1211 0    0    1    0    54   15   21   8    5    1    2    0    0    0   
FR  0    0    0    0    1    1047 0    0    0    10   4    18   3    3    0    0    1    0    0   
GE  22   0    0    1    2    0    1137 0    0    2    0    3    0    1    1    0    3    0    0   
JA  2    0    1    0    2    1    1    450  23   1    4    4    0    0    0    0    1    0    0   
KO  0    0    2    0    1    0    0    14   1147 0    0    1    2    0    0    0    3    1    0   
PL  0    4    0    0    3    1    0    0    0    1437 4    58   2    1    2    0    1    0    0   
PO  0    2    1    1    1    0    2    0    0    12   838  8    10   46   1    1    0    0    1   
RU  5    5    1    41   24   0    0    1    5    14   7    1566 12   6    0    0    9    4    0   
SP  4    1    1    11   5    0    0    0    3    4    34   40   952  53   0    1    7    1    1   
SW  1    0    0    16   2    1    2    0    3    4    1    18   48   1244 0    0    7    0    0   
TA  3    0    0    0    0    0    0    0    0    0    0    0    0    0    410  1    0    0    0   
TH  3    0    1    0    0    0    0    0    2    0    0    0    0    0    0    1316 0    0    0   
TU  0    21   0    18   0    0    0    0    5    13   11   4    3    3    0    0    1011 0    1   
WU  1    0    4    0    3    0    0    3    5    1    4    0    3    1    0    0    1    321  0   
VN  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1161
C_primary value: 0.078
