Accuracy: 0.720 (14647/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  522  3    3    40   14   16   30   10   4    2    37   77   15   15   1    1    32   1    1   
BG  0    856  0    1    2    0    0    0    0    371  0    0    0    0    0    2    0    0    0   
CH  0    0    964  3    1    0    9    9    23   4    2    8    5    8    2    1    15   6    2   
CR  14   0    3    521  4    39   8    1    4    0    21   185  52   31   1    0    141  1    2   
CZ  20   7    7    7    1066 41   7    2    13   63   11   28   1    11   8    30   3    1    21  
FR  1    0    1    4    2    867  56   5    14   0    39   14   15   42   0    0    23   1    3   
GE  11   0    12   0    0    5    1106 1    5    1    8    12   0    3    0    0    8    0    0   
JA  9    0    9    3    7    2    18   319  21   0    16   12   21   30   0    1    16   6    0   
KO  6    0    30   3    2    58   12   27   946  0    8    10   23   4    1    1    36   4    0   
PL  35   127  4    20   11   27   103  2    2    982  38   90   0    2    0    7    0    0    63  
PO  18   0    14   20   1    26   13   19   15   1    611  46   63   17   0    0    57   1    2   
RU  77   0    5    167  38   29   43   39   7    6    158  887  64   58   1    0    106  7    8   
SP  12   1    8    79   12   80   3    3    17   0    22   69   642  94   1    0    70   2    3   
SW  15   1    38   96   6    66   26   11   45   7    25   78   35   787  1    2    108  0    0   
TA  64   16   2    8    10   0    1    0    0    11   30   23   1    4    231  1    7    0    5   
TH  2    1    2    0    1    0    0    0    1    12   0    1    1    0    0    1300 0    0    1   
TU  18   12   21   26   15   36   0    3    33   9    18   42   15   52   2    1    771  2    14  
WU  0    0    40   0    0    0    0    13   8    0    1    0    3    4    0    0    10   260  8   
VN  16   0    16   2    47   15   0    2    2    3    4    5    12   10   0    0    15   3    1009
C_primary value: 0.359
