Accuracy: 0.9387 (19102/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  769  0    2    0    0    0    3    1    0    0    5    22   12   6    1    0    3    0    0   
BG  0    1204 0    1    0    0    0    0    0    17   2    7    0    0    0    1    0    0    0   
CH  0    0    1020 1    0    0    0    1    14   2    15   4    0    0    0    1    1    3    0   
CR  3    0    0    898  7    1    1    0    1    9    1    48   28   13   0    0    18   0    0   
CZ  1    0    0    0    1216 0    0    0    0    113  2    3    5    3    0    3    0    0    1   
FR  0    0    0    0    0    1078 0    1    0    4    0    1    0    3    0    0    0    0    0   
GE  15   0    8    2    5    0    1101 0    0    0    7    11   1    2    3    0    17   0    0   
JA  6    0    8    0    2    0    1    434  17   0    3    1    10   2    0    1    3    2    0   
KO  0    0    4    0    0    0    0    17   1108 0    2    2    8    25   0    2    0    3    0   
PL  1    2    0    1    1    0    2    0    1    1422 12   55   0    0    11   1    0    0    4   
PO  1    0    0    9    1    1    1    0    0    0    837  23   28   20   0    1    2    0    0   
RU  5    0    0    65   2    2    0    2    1    1    9    1582 11   3    0    0    7    10   0   
SP  23   0    0    9    0    1    1    0    4    0    11   25   998  36   1    0    5    3    1   
SW  4    0    0    35   1    0    0    0    0    0    4    11   29   1261 0    0    2    0    0   
TA  0    0    0    0    0    0    0    0    0    0    0    1    0    0    413  0    0    0    0   
TH  1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    1319 0    0    1   
TU  0    0    0    42   1    0    0    0    3    0    29   19   8    2    1    0    985  0    0   
WU  2    0    14   1    0    0    0    2    0    0    7    5    2    8    0    0    0    306  0   
VN  0    1    3    0    0    0    0    1    0    0    0    0    0    0    0    2    3    0    1151
C_primary value: 0.0802
