Accuracy: 0.9378 (19084/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  752  0    1    0    0    0    0    1    0    0    7    29   23   5    1    0    4    1    0   
BG  0    1189 0    0    0    0    0    0    0    22   5    16   0    0    0    0    0    0    0   
CH  0    0    1012 0    0    0    0    1    23   2    15   2    2    0    0    1    1    3    0   
CR  0    0    0    864  23   0    0    0    1    19   1    65   39   8    0    0    8    0    0   
CZ  0    0    0    0    1257 0    0    0    0    67   0    7    8    0    1    5    0    0    2   
FR  0    0    0    0    1    1074 0    0    0    2    1    4    0    2    0    0    1    2    0   
GE  11   0    9    0    10   0    1098 1    0    0    4    10   0    3    2    0    24   0    0   
JA  11   0    2    0    0    0    1    418  34   0    7    0    11   3    0    1    2    0    0   
KO  0    0    5    0    0    0    0    9    1120 0    0    0    18   14   0    2    1    2    0   
PL  1    6    0    0    0    0    1    0    1    1432 0    60   0    0    11   0    1    0    0   
PO  1    0    1    4    2    1    3    0    0    0    832  20   22   38   0    0    0    0    0   
RU  7    0    0    89   1    0    0    2    0    1    7    1565 13   3    0    0    3    9    0   
SP  18   0    0    1    0    1    0    1    4    1    22   27   997  42   0    0    3    0    1   
SW  1    0    0    16   1    0    0    0    2    0    5    13   47   1260 0    0    2    0    0   
TA  0    0    0    0    0    0    0    0    0    0    0    1    0    0    413  0    0    0    0   
TH  1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1321 0    0    0   
TU  1    1    0    32   0    0    0    0    0    4    4    24   6    2    0    0    1016 0    0   
WU  3    0    11   1    0    0    0    4    1    0    7    3    2    7    0    0    1    307  0   
VN  0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    2    1    0    1157
C_primary value: 0.0822
