Accuracy: 0.9308 (18941/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  746  0    1    2    2    0    1    1    0    5    2    32   16   14   1    0    1    0    0   
BG  0    1174 0    1    0    0    0    1    0    33   5    17   0    0    0    0    1    0    0   
CH  2    0    998  0    1    0    0    3    24   1    19   3    1    1    0    2    2    5    0   
CR  0    0    0    866  9    1    0    0    1    23   3    53   29   25   0    0    18   0    0   
CZ  0    1    0    0    1147 0    0    2    0    160  0    22   6    1    3    4    0    0    1   
FR  0    0    0    0    0    1073 0    0    0    5    1    3    0    1    0    0    1    3    0   
GE  33   0    10   1    25   0    1050 1    0    0    17   15   0    8    1    0    11   0    0   
JA  6    0    4    0    1    0    0    381  70   0    11   3    4    1    0    3    4    2    0   
KO  0    0    2    0    1    0    0    17   1121 0    0    0    7    20   0    1    1    1    0   
PL  0    0    0    0    0    0    0    0    0    1484 1    20   0    0    3    1    1    0    3   
PO  1    0    1    11   1    1    2    0    0    3    815  20   32   34   0    0    3    0    0   
RU  5    0    2    50   0    1    0    5    0    9    11   1589 16   3    0    0    5    4    0   
SP  19   2    0    0    0    0    0    1    5    0    10   19   1017 41   0    1    1    0    2   
SW  2    0    0    16   0    0    0    0    0    1    3    24   20   1279 0    0    2    0    0   
TA  0    0    0    0    0    0    0    0    0    0    0    1    0    0    413  0    0    0    0   
TH  0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    1321 0    0    0   
TU  0    2    0    34   1    0    0    0    2    13   7    21   7    8    1    0    993  1    0   
WU  0    0    11   0    0    0    0    0    1    0    5    1    3    7    0    0    1    318  0   
VN  0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    2    1    0    1156
C_primary value: 0.0919
