Accuracy: 0.695 (14148/20347 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  456  0    1    33   22   59   19   6    1    4    24   105  29   29   2    0    29   0    5   
BG  0    966  0    0    2    0    0    0    0    261  0    0    0    0    0    3    0    0    0   
CH  0    0    1004 3    0    0    1    3    4    3    0    0    1    6    0    5    0    7    25  
CR  1    0    2    533  12   11   1    11   10   0    105  200  36   87   1    0    14   0    4   
CZ  20   1    0    5    912  41   24   4    13   54   69   44   60   53   0    11   11   0    23  
FR  1    0    1    10   22   811  33   6    0    0    35   70   7    34   0    0    57   0    0   
GE  186  0    2    7    5    28   811  8    17   0    31   22   20   5    0    0    25   0    5   
JA  0    0    5    1    21   1    8    371  6    0    3    11   7    21   0    0    33   0    2   
KO  2    0    1    0    7    2    0    11   1025 0    22   7    49   22   0    1    19   1    2   
PL  18   100  4    39   0    31   69   3    1    762  48   92   3    16   24   11   15   1    276 
PO  5    0    5    36   1    7    35   14   22   1    547  149  30   39   0    0    24   2    7   
RU  54   0    2    175  19   25   6    39   10   8    167  974  37   131  3    1    41   0    8   
SP  21   0    0    65   55   18   36   14   13   5    77   37   630  62   1    1    65   0    18  
SW  37   0    6    31   52   16   8    11   14   5    59   188  64   810  1    2    30   0    13  
TA  32   0    0    23   63   3    26   10   31   1    13   12   14   0    165  0    12   0    9   
TH  0    1    1    0    3    0    0    1    0    5    0    0    3    2    0    1305 0    0    1   
TU  5    0    0    9    54   19   2    4    13   48   11   39   25   22   2    0    829  0    8   
WU  0    0    44   0    0    0    0    0    1    0    0    0    1    1    0    1    1    293  5   
VN  26   0    4    7    20   20   9    5    0    3    9    15   35   22   1    35   6    0    944 
C_primary value: 0.385
