Accuracy: 0.945 (19234/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  750  0    2    1    1    0    1    1    0    1    3    30   4    26   2    0    2    0    0   
BG  0    1213 1    1    0    0    0    0    0    9    7    1    0    0    0    0    0    0    0   
CH  2    0    1007 1    0    0    0    6    23   1    10   3    0    1    0    3    0    5    0   
CR  3    0    0    857  26   1    0    0    1    4    17   75   17   4    0    0    23   0    0   
CZ  2    5    0    2    1278 0    0    2    0    21   19   10   7    0    1    0    0    0    0   
FR  0    0    0    0    0    1069 0    0    0    0    1    9    0    7    0    0    1    0    0   
GE  4    0    2    1    1    0    1142 1    0    0    3    8    1    4    0    0    5    0    0   
JA  2    0    4    0    3    0    0    458  11   0    3    4    2    0    0    0    3    0    0   
KO  0    0    2    1    1    0    0    13   1149 0    0    0    0    3    0    0    1    1    0   
PL  1    10   1    0    0    0    0    0    0    1407 1    84   4    0    5    0    0    0    0   
PO  2    0    1    2    1    1    4    0    0    2    857  13   25   12   0    1    3    0    0   
RU  8    0    0    63   7    2    0    5    3    0    9    1585 9    2    0    0    5    2    0   
SP  7    0    1    8    0    0    0    0    9    0    22   25   987  53   0    0    4    2    0   
SW  0    0    0    31   3    1    3    0    1    0    4    47   39   1213 0    0    5    0    0   
TA  4    0    0    0    0    0    0    0    0    0    0    1    1    0    408  0    0    0    0   
TH  2    0    2    0    0    0    0    0    1    0    2    0    2    0    0    1313 0    0    0   
TU  0    6    0    8    0    0    0    0    1    2    8    3    3    0    0    0    1059 0    0   
WU  5    0    1    0    0    0    0    0    0    0    1    3    0    12   0    0    2    323  0   
VN  0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    1159
C_primary value: 0.069
