Accuracy: 0.945 (19231/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  741  0    2    7    8    0    3    1    0    5    5    28   8    11   2    0    3    0    0   
BG  0    1177 0    5    2    0    0    0    1    18   12   15   1    0    0    0    0    1    0   
CH  2    0    1017 0    0    0    0    3    26   0    6    3    1    1    0    0    1    2    0   
CR  2    0    0    876  14   0    0    0    2    22   9    59   22   3    0    0    19   0    0   
CZ  3    25   1    1    1221 0    0    2    0    38   28   21   2    2    1    1    1    0    0   
FR  0    0    0    0    0    1073 0    0    0    2    2    4    0    3    0    0    1    2    0   
GE  6    0    1    1    5    1    1140 0    0    1    3    4    1    3    0    0    6    0    0   
JA  1    0    3    0    19   0    1    425  28   0    7    4    0    0    0    1    1    0    0   
KO  0    0    2    1    2    1    0    3    1155 0    0    2    0    0    0    1    0    3    1   
PL  0    8    0    0    1    0    0    0    0    1448 2    45   3    0    5    1    0    0    0   
PO  0    1    1    3    5    0    4    0    0    5    855  9    19   17   0    2    2    0    1   
RU  5    2    0    39   17   2    0    1    1    5    3    1604 4    6    0    0    5    6    0   
SP  14   2    0    2    2    0    2    1    2    6    22   12   1028 21   1    2    0    0    1   
SW  0    0    0    30   7    0    2    0    0    2    3    24   16   1260 0    0    3    0    0   
TA  1    0    0    0    0    0    0    0    0    1    1    0    0    0    411  0    0    0    0   
TH  8    0    1    0    0    0    1    0    2    0    1    0    8    0    0    1301 0    0    0   
TU  0    5    0    17   3    0    0    0    0    21   14   6    3    0    0    0    1020 0    1   
WU  1    0    1    0    1    0    0    6    1    0    3    3    0    5    0    0    1    325  0   
VN  0    1    1    0    0    0    0    0    1    0    0    0    0    0    0    3    0    1    1154
C_primary value: 0.072
