Accuracy: 0.945 (19228/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  726  0    2    2    7    0    1    1    1    7    8    48   7    11   3    0    0    0    0   
BG  0    1178 1    4    1    0    0    0    0    17   18   11   1    0    0    0    1    0    0   
CH  1    0    1028 0    0    0    0    1    20   0    3    5    1    1    0    1    0    1    0   
CR  1    0    0    923  6    1    0    0    2    20   1    33   19   7    0    0    15   0    0   
CZ  0    21   1    3    1232 1    1    2    0    30   34   15   3    1    1    0    1    0    1   
FR  0    1    0    0    0    1077 0    0    0    1    4    1    0    2    0    0    1    0    0   
GE  5    0    3    1    2    0    1146 0    0    1    2    1    0    5    0    0    6    0    0   
JA  0    0    3    0    16   0    4    434  20   0    3    3    4    0    0    0    3    0    0   
KO  0    0    2    0    2    0    0    6    1148 0    0    0    2    3    0    2    1    3    2   
PL  0    9    0    1    2    0    1    0    0    1459 4    28   5    1    2    0    0    0    1   
PO  2    0    0    2    4    0    3    0    0    4    845  15   17   25   0    1    3    0    3   
RU  2    2    1    55   21   6    0    5    1    7    10   1570 7    5    0    0    3    5    0   
SP  10   1    0    5    5    1    2    0    6    5    32   16   997  34   1    1    0    1    1   
SW  0    0    1    36   7    0    2    0    0    4    7    27   16   1244 0    0    3    0    0   
TA  3    0    0    0    0    0    0    0    0    1    1    0    0    0    409  0    0    0    0   
TH  3    0    1    0    0    0    0    0    3    0    1    0    4    0    1    1309 0    0    0   
TU  0    4    0    28   1    1    0    0    1    17   15   4    4    2    0    0    1012 0    1   
WU  1    0    2    0    1    0    0    1    1    0    2    2    0    3    0    0    1    333  0   
VN  0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    1    1    0    1158
C_primary value: 0.070
